step,energy_eV,energy_source,delta_energy_eV,max_force_eV_per_A,max_atom_index_1based,max_atom_element,drift_eV_per_A,drift_x,drift_y,drift_z,pressure_kB,scf_steps,outcar_header_line
1,-875.5812367,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,,0.47185036153106846,92,H,0.30148006066239275,-0.23172,-0.190604,-0.029431,-14.49,24,3730
2,-875.61609791,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.03486121000003095,0.993048197628393,21,N,0.3776565377138333,-0.354734,-0.111829,-0.065441,-7.21,11,5785
3,-875.72366538,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.10756747000004907,0.42150661459815786,21,N,0.3424925327142185,-0.20046,-0.277666,0.004303,-10.68,9,7772
4,-875.72041531,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.003250070000035521,0.5849452414688062,21,N,0.36861129069522547,-0.165218,-0.32617,0.046802,-8.43,11,9829
5,-875.75945854,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.03904322999994747,0.17525312127890905,177,I,0.3485572944050949,-0.292265,-0.185037,-0.042833,-9.61,10,11855
6,-875.76929882,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.009840280000048551,0.17213733948797977,17,N,0.3384989450323294,-0.25547,-0.220602,0.025522,-9.42,8,13795
7,-875.77063981,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.0013409900000169728,0.24398480263122949,17,N,0.4217710198069564,-0.396532,-0.143154,-0.012653,-9.34,6,15665
8,-875.77565277,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.005012959999930899,0.21056485021484472,17,N,0.3299566618997107,-0.24847,-0.216034,-0.021526,-9.31,6,17527
9,-875.78591351,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.010260740000035184,0.11498291358719347,114,Pb,0.29735134471866775,-0.18265,-0.234559,0.006235,-9.23,8,19475
10,-875.7837778,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.0021357099999477214,0.48206243030545326,17,N,0.3734720986379036,-0.194829,-0.315222,-0.046456,-9.03,10,21493
11,-875.78854082,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.004763019999927565,0.17614847325480854,17,N,0.3474452292635488,-0.123343,-0.316275,-0.073992,-9.14,9,23472
12,-875.79492284,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.006382020000046396,0.08090189335856116,114,Pb,0.3197851069046212,-0.163982,-0.267565,-0.061493,-9.18,8,25412
13,-875.79703926,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.0021164199999930133,0.09597364242853347,114,Pb,0.3556530095261391,-0.132467,-0.32553,-0.054514,-9.21,7,27321
14,-875.7971917,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.00015243999996528146,0.09078409866270636,114,Pb,0.3672372624421438,-0.134303,-0.341149,-0.021054,-9.22,4,29105
15,-875.7994134,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.00222170000006372,0.10500453455446579,114,Pb,0.36080845543723056,-0.172531,-0.310625,-0.062673,-9.2,6,30967
16,-875.80386868,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.004455280000001949,0.21420699880489433,3,C,0.355772910617152,-0.147689,-0.320462,-0.045458,-9.16,8,32915
17,-875.80363753,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.00023115000010420772,0.6256018623581615,3,C,0.42344281896969277,-0.09339,-0.401666,-0.096159,-9.1,10,34933
18,-875.80505919,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.0014216600000054314,0.3460312227906609,3,C,0.38830321508068927,-0.060925,-0.378271,-0.063076,-9.12,9,36912
19,-875.8061519,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.0010927100000799328,0.33820883365311444,3,C,0.33958172448027885,-0.074926,-0.324659,-0.065562,-9.11,4,38696
20,-875.80917313,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.003021229999944808,0.29657467463187076,3,C,0.33078236266917255,-0.082172,-0.31337,-0.066813,-9.1,6,40566
21,-875.81425207,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.005078939999975773,0.20074147847916232,3,C,0.39560542275985044,-0.089145,-0.370426,-0.106496,-9.06,8,42506
22,-875.81982071,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.005568640000092273,0.15941357039474402,162,I,0.3553942583033665,-0.115139,-0.322067,-0.096545,-8.95,9,44485
23,-875.82185551,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.002034799999933057,0.15447557194909492,162,I,0.3048828309268989,-0.106577,-0.272631,-0.085248,-8.96,5,46308
24,-875.82548542,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.0036299099999723694,0.1398256604561552,3,C,0.31128436296415535,-0.099624,-0.288473,-0.061289,-8.98,8,48256
25,-875.82577405,OUTCAR TOTEN locked: last value before completed POSITION TOTAL-FORCE block,0.00028863000000001193,0.16935654093361732,3,C,0.30772194905628686,-0.105367,-0.281939,-0.064039,-8.98,5,50079
